infinitiv	tip	sigurnost	predlozeni_oblik
abdicirati	-irati	visoka	abdiciram
abdicirati	-irati	visoka	abdiciraš
abdicirati	-irati	visoka	abdiciramo
abdicirati	-irati	visoka	abdicirate
abdicirati	-irati	visoka	abdiciraju
abdicirati	-irati	visoka	abdicirala
abdicirati	-irati	visoka	abdiciralo
abdicirati	-irati	visoka	abdicirale
abdicirati	-irati	visoka	abdiciraj
abdicirati	-irati	visoka	abdicirajte
abolirati	-irati	visoka	aboliram
abolirati	-irati	visoka	aboliraš
abolirati	-irati	visoka	abolira
abolirati	-irati	visoka	aboliramo
abolirati	-irati	visoka	abolirate
abolirati	-irati	visoka	aboliraju
abolirati	-irati	visoka	abolirao
abolirati	-irati	visoka	abolirala
abolirati	-irati	visoka	aboliralo
abolirati	-irati	visoka	abolirali
abolirati	-irati	visoka	abolirale
abolirati	-irati	visoka	aboliraj
abolirati	-irati	visoka	abolirajte
abonirati	-irati	visoka	aboniram
abonirati	-irati	visoka	aboniraš
abonirati	-irati	visoka	abonira
abonirati	-irati	visoka	aboniramo
abonirati	-irati	visoka	abonirate
abonirati	-irati	visoka	aboniraju
abonirati	-irati	visoka	abonirao
abonirati	-irati	visoka	abonirala
abonirati	-irati	visoka	aboniralo
abonirati	-irati	visoka	abonirali
abonirati	-irati	visoka	abonirale
abonirati	-irati	visoka	aboniraj
abonirati	-irati	visoka	abonirajte
abortirati	-irati	visoka	abortiramo
abortirati	-irati	visoka	abortirate
abortirati	-irati	visoka	abortiraju
abortirati	-irati	visoka	abortirao
abortirati	-irati	visoka	abortiralo
abortirati	-irati	visoka	abortirali
abortirati	-irati	visoka	abortirale
abortirati	-irati	visoka	abortirajte
administrirati	-irati	visoka	administriram
administrirati	-irati	visoka	administriraš
administrirati	-irati	visoka	administrira
administrirati	-irati	visoka	administriramo
administrirati	-irati	visoka	administrirate
administrirati	-irati	visoka	administrirao
administrirati	-irati	visoka	administrirala
administrirati	-irati	visoka	administriralo
administrirati	-irati	visoka	administrirali
administrirati	-irati	visoka	administrirale
administrirati	-irati	visoka	administriraj
administrirati	-irati	visoka	administrirajte
adoptirati	-irati	visoka	adoptiram
adoptirati	-irati	visoka	adoptiraš
adoptirati	-irati	visoka	adoptira
adoptirati	-irati	visoka	adoptiramo
adoptirati	-irati	visoka	adoptirate
adoptirati	-irati	visoka	adoptiraju
adoptirati	-irati	visoka	adoptirao
adoptirati	-irati	visoka	adoptirala
adoptirati	-irati	visoka	adoptiralo
adoptirati	-irati	visoka	adoptirali
adoptirati	-irati	visoka	adoptirale
adoptirati	-irati	visoka	adoptiraj
adoptirati	-irati	visoka	adoptirajte
adresati	-ati (palatalizacija?)	proveri	adresam
adresati	-ati (palatalizacija?)	proveri	adresaš
adresati	-ati (palatalizacija?)	proveri	adresamo
adresati	-ati (palatalizacija?)	proveri	adresate
adresati	-ati (palatalizacija?)	proveri	adresaju
adresati	-ati (palatalizacija?)	proveri	adresaj
adresati	-ati (palatalizacija?)	proveri	adresajte
adresati	-ati (palatalizacija?)	proveri	adrešem
adresati	-ati (palatalizacija?)	proveri	adrešeš
adresati	-ati (palatalizacija?)	proveri	adreše
adresati	-ati (palatalizacija?)	proveri	adrešemo
adresati	-ati (palatalizacija?)	proveri	adrešete
adresati	-ati (palatalizacija?)	proveri	adrešu
adresati	-ati (palatalizacija?)	proveri	adreši
adresati	-ati (palatalizacija?)	proveri	adrešite
adresati	-ati (palatalizacija?)	proveri	adresao
adresati	-ati (palatalizacija?)	proveri	adresala
adresati	-ati (palatalizacija?)	proveri	adresalo
adresati	-ati (palatalizacija?)	proveri	adresali
adresati	-ati (palatalizacija?)	proveri	adresale
adresirati	-irati	visoka	adresiraš
adresirati	-irati	visoka	adresiramo
adresirati	-irati	visoka	adresirate
adresirati	-irati	visoka	adresiraju
adresirati	-irati	visoka	adresirala
adresirati	-irati	visoka	adresiralo
adresirati	-irati	visoka	adresirale
adresirati	-irati	visoka	adresiraj
adresovati	-ovati	visoka	adresujem
adresovati	-ovati	visoka	adresuješ
adresovati	-ovati	visoka	adresuje
adresovati	-ovati	visoka	adresujemo
adresovati	-ovati	visoka	adresujete
adresovati	-ovati	visoka	adresuju
adresovati	-ovati	visoka	adresovao
adresovati	-ovati	visoka	adresovala
adresovati	-ovati	visoka	adresovalo
adresovati	-ovati	visoka	adresovali
adresovati	-ovati	visoka	adresovale
adresovati	-ovati	visoka	adresuj
adresovati	-ovati	visoka	adresujte
advokati	-ati (palatalizacija?)	proveri	advokam
advokati	-ati (palatalizacija?)	proveri	advokaš
advokati	-ati (palatalizacija?)	proveri	advoka
advokati	-ati (palatalizacija?)	proveri	advokamo
advokati	-ati (palatalizacija?)	proveri	advokaju
advokati	-ati (palatalizacija?)	proveri	advokaj
advokati	-ati (palatalizacija?)	proveri	advokajte
advokati	-ati (palatalizacija?)	proveri	advočem
advokati	-ati (palatalizacija?)	proveri	advočeš
advokati	-ati (palatalizacija?)	proveri	advoče
advokati	-ati (palatalizacija?)	proveri	advočemo
advokati	-ati (palatalizacija?)	proveri	advočete
advokati	-ati (palatalizacija?)	proveri	advoču
advokati	-ati (palatalizacija?)	proveri	advoči
advokati	-ati (palatalizacija?)	proveri	advočite
advokati	-ati (palatalizacija?)	proveri	advokao
advokati	-ati (palatalizacija?)	proveri	advokala
advokati	-ati (palatalizacija?)	proveri	advokalo
advokati	-ati (palatalizacija?)	proveri	advokali
advokati	-ati (palatalizacija?)	proveri	advokale
afektirati	-irati	visoka	afektiram
afektirati	-irati	visoka	afektiraš
afektirati	-irati	visoka	afektira
afektirati	-irati	visoka	afektiramo
afektirati	-irati	visoka	afektirate
afektirati	-irati	visoka	afektirao
afektirati	-irati	visoka	afektiralo
afektirati	-irati	visoka	afektirali
afektirati	-irati	visoka	afektirale
afektirati	-irati	visoka	afektiraj
afektirati	-irati	visoka	afektirajte
afiniteti	-eti	proveri	afinitim
afiniteti	-eti	proveri	afinitiš
afiniteti	-eti	proveri	afiniti
afiniteti	-eti	proveri	afinitimo
afiniteti	-eti	proveri	afinitite
afiniteti	-eti	proveri	afinite
afiniteti	-eti	proveri	afiniteo
afiniteti	-eti	proveri	afinitela
afiniteti	-eti	proveri	afinitelo
afiniteti	-eti	proveri	afiniteli
afiniteti	-eti	proveri	afinitele
afirmirati	-irati	visoka	afirmiram
afirmirati	-irati	visoka	afirmiraš
afirmirati	-irati	visoka	afirmiramo
afirmirati	-irati	visoka	afirmirate
afirmirati	-irati	visoka	afirmiraju
afirmirati	-irati	visoka	afirmirao
afirmirati	-irati	visoka	afirmirala
afirmirati	-irati	visoka	afirmiralo
afirmirati	-irati	visoka	afirmirali
afirmirati	-irati	visoka	afirmirale
afirmirati	-irati	visoka	afirmiraj
afirmirati	-irati	visoka	afirmirajte
afroditi	-iti	visoka	afrodim
afroditi	-iti	visoka	afrodiš
afroditi	-iti	visoka	afrodi
afroditi	-iti	visoka	afrodimo
afroditi	-iti	visoka	afrode
afroditi	-iti	visoka	afrodio
afroditi	-iti	visoka	afrodila
afroditi	-iti	visoka	afrodilo
afroditi	-iti	visoka	afrodili
afroditi	-iti	visoka	afrodile
agregati	-ati (palatalizacija?)	proveri	agregam
agregati	-ati (palatalizacija?)	proveri	agregaš
agregati	-ati (palatalizacija?)	proveri	agrega
agregati	-ati (palatalizacija?)	proveri	agregamo
agregati	-ati (palatalizacija?)	proveri	agregaju
agregati	-ati (palatalizacija?)	proveri	agregaj
agregati	-ati (palatalizacija?)	proveri	agregajte
agregati	-ati (palatalizacija?)	proveri	agrežem
agregati	-ati (palatalizacija?)	proveri	agrežeš
agregati	-ati (palatalizacija?)	proveri	agreže
agregati	-ati (palatalizacija?)	proveri	agrežemo
agregati	-ati (palatalizacija?)	proveri	agrežete
agregati	-ati (palatalizacija?)	proveri	agrežu
agregati	-ati (palatalizacija?)	proveri	agreži
agregati	-ati (palatalizacija?)	proveri	agrežite
agregati	-ati (palatalizacija?)	proveri	agregao
agregati	-ati (palatalizacija?)	proveri	agregala
agregati	-ati (palatalizacija?)	proveri	agregalo
agregati	-ati (palatalizacija?)	proveri	agregali
agregati	-ati (palatalizacija?)	proveri	agregale
akcentovati	-ovati	visoka	akcentujem
akcentovati	-ovati	visoka	akcentuješ
akcentovati	-ovati	visoka	akcentujemo
akcentovati	-ovati	visoka	akcentujete
akcentovati	-ovati	visoka	akcentovao
akcentovati	-ovati	visoka	akcentovala
akcentovati	-ovati	visoka	akcentovalo
akcentovati	-ovati	visoka	akcentovali
akcentovati	-ovati	visoka	akcentovale
akcentovati	-ovati	visoka	akcentuj
akcentovati	-ovati	visoka	akcentujte
akceptirati	-irati	visoka	akceptiram
akceptirati	-irati	visoka	akceptiraš
akceptirati	-irati	visoka	akceptira
akceptirati	-irati	visoka	akceptiramo
akceptirati	-irati	visoka	akceptirate
akceptirati	-irati	visoka	akceptiraju
akceptirati	-irati	visoka	akceptirao
akceptirati	-irati	visoka	akceptirala
akceptirati	-irati	visoka	akceptiralo
akceptirati	-irati	visoka	akceptirali
akceptirati	-irati	visoka	akceptirale
akceptirati	-irati	visoka	akceptiraj
akceptirati	-irati	visoka	akceptirajte
aklamovati	-ovati	visoka	aklamujem
aklamovati	-ovati	visoka	aklamuješ
aklamovati	-ovati	visoka	aklamuje
aklamovati	-ovati	visoka	aklamujemo
aklamovati	-ovati	visoka	aklamujete
aklamovati	-ovati	visoka	aklamuju
aklamovati	-ovati	visoka	aklamovao
aklamovati	-ovati	visoka	aklamovala
aklamovati	-ovati	visoka	aklamovalo
aklamovati	-ovati	visoka	aklamovali
aklamovati	-ovati	visoka	aklamovale
aklamovati	-ovati	visoka	aklamuj
aklamovati	-ovati	visoka	aklamujte
aklimatizovati	-ovati	visoka	aklimatizujem
aklimatizovati	-ovati	visoka	aklimatizuješ
aklimatizovati	-ovati	visoka	aklimatizuje
aklimatizovati	-ovati	visoka	aklimatizujemo
aklimatizovati	-ovati	visoka	aklimatizujete
aklimatizovati	-ovati	visoka	aklimatizuju
aklimatizovati	-ovati	visoka	aklimatizovao
aklimatizovati	-ovati	visoka	aklimatizovala
aklimatizovati	-ovati	visoka	aklimatizovalo
aklimatizovati	-ovati	visoka	aklimatizovali
aklimatizovati	-ovati	visoka	aklimatizovale
aklimatizovati	-ovati	visoka	aklimatizuj
aklimatizovati	-ovati	visoka	aklimatizujte
akontirati	-irati	visoka	akontiram
akontirati	-irati	visoka	akontiraš
akontirati	-irati	visoka	akontira
akontirati	-irati	visoka	akontiramo
akontirati	-irati	visoka	akontirate
akontirati	-irati	visoka	akontiraju
akontirati	-irati	visoka	akontirao
akontirati	-irati	visoka	akontirala
akontirati	-irati	visoka	akontiralo
akontirati	-irati	visoka	akontirali
akontirati	-irati	visoka	akontirale
akontirati	-irati	visoka	akontiraj
akontirati	-irati	visoka	akontirajte
akreditirati	-irati	visoka	akreditiram
akreditirati	-irati	visoka	akreditiraš
