imenica	frekvencija	potvrđen_genitiv	padež	predlog	napomena
lice	28781	lica	D/L jd	licu	
trajanje	4717	trajanja	I jd	trajanjem	
obrazloženje	3873	obrazloženja	D/L jd	obrazloženju	
ostvarenje	3496	ostvarenja	I jd	ostvarenjem	
predsedništvo	3376	predsedništva	D/L jd	predsedništvu	
predsedništvo	3376	predsedništva	I jd	predsedništvom	
angažovanje	3120	angažovanja	I jd	angažovanjem	
opredeljenje	2984	opredeljenja	I jd	opredeljenjem	
finale	2671	finala	I jd	finalem	
poluvreme	2470	poluvremena	I jd	poluvremenom	proširena osnova
prijavljivanje	2348	prijavljivanja	I jd	prijavljivanjem	
jaje	2311	jaja	D/L jd	jaju	
obeležavanje	2309	obeležavanja	D/L jd	obeležavanju	
obeležavanje	2309	obeležavanja	I jd	obeležavanjem	
podsticanje	2212	podsticanja	I jd	podsticanjem	
poskupljenje	2193	poskupljenja	I jd	poskupljenjem	
informisanje	2132	informisanja	D/L jd	informisanju	
definisanje	2128	definisanja	I jd	definisanjem	
pravoslavlje	2084	pravoslavlja	I jd	pravoslavljem	
obezbeđivanje	2047	obezbeđivanja	I jd	obezbeđivanjem	
usavršavanje	2024	usavršavanja	I jd	usavršavanjem	
godište	1920	godišta	I jd	godištem	
svedočanstvo	1898	svedočanstva	D/L jd	svedočanstvu	
svedočanstvo	1898	svedočanstva	I jd	svedočanstvom	
usklađivanje	1832	usklađivanja	D/L jd	usklađivanju	
usklađivanje	1832	usklađivanja	I jd	usklađivanjem	
konzumiranje	1814	konzumiranja	I jd	konzumiranjem	
jevanđelje	1742	jevanđelja	I jd	jevanđeljem	
zaduživanje	1654	zaduživanja	I jd	zaduživanjem	
preduzetništvo	1580	preduzetništva	D/L jd	preduzetništvu	
preduzetništvo	1580	preduzetništva	I jd	preduzetništvom	
insistiranje	1538	insistiranja	I jd	insistiranjem	
težište	1519	težišta	D/L jd	težištu	
osveženje	1505	osveženja	D/L jd	osveženju	
državljanstvo	1504	državljanstva	I jd	državljanstvom	
sveštenstvo	1468	sveštenstva	I jd	sveštenstvom	
osposobljavanje	1439	osposobljavanja	D/L jd	osposobljavanju	
osposobljavanje	1439	osposobljavanja	I jd	osposobljavanjem	
učestvovanje	1423	učestvovanja	I jd	učestvovanjem	
skladištenje	1345	skladištenja	D/L jd	skladištenju	
skladištenje	1345	skladištenja	I jd	skladištenjem	
đubre	1220	đubra	D/L jd	đubru	
đubre	1220	đubra	I jd	đubrem	
stanovište	1199	stanovišta	I jd	stanovištem	
oglašavanje	1191	oglašavanja	I jd	oglašavanjem	
skijalište	1170	skijališta	I jd	skijalištem	
oličenje	1166	oličenja	D/L jd	oličenju	
ažuriranje	1139	ažuriranja	I jd	ažuriranjem	
savetovalište	1111	savetovališta	I jd	savetovalištem	
lane	1110	laneta	D/L jd	lanetu	proširena osnova
lane	1110	laneta	I jd	lanetom	proširena osnova
predstavništvo	1109	predstavništva	I jd	predstavništvom	
sagledavanje	1099	sagledavanja	I jd	sagledavanjem	
inženjerstvo	998	inženjerstva	I jd	inženjerstvom	
trgovanje	998	trgovanja	I jd	trgovanjem	
olakšanje	995	olakšanja	D/L jd	olakšanju	
gazdinstvo	953	gazdinstva	I jd	gazdinstvom	
žitije	949	žitija	I jd	žitijem	
utvrđenje	945	utvrđenja	I jd	utvrđenjem	
umrežavanje	942	umrežavanja	I jd	umrežavanjem	
preispitivanje	930	preispitivanja	D/L jd	preispitivanju	
ugrožavanje	921	ugrožavanja	I jd	ugrožavanjem	
gradilište	918	gradilišta	I jd	gradilištem	
ročište	918	ročišta	I jd	ročištem	
